"STATION","NAME","DATE","AWND","PGTM","PRCP","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT04","WT05","WT08"
"USW00025333","SITKA AIRPORT, AK US",2018-05-02,"6,93",615,"0,14",,,47,36,290,290,"14,1",15,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-05-03,"4,03",1534,"0,03",,,45,36,130,120,"10,1","14,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-05-04,"6,71",1651,"0,1",,,48,42,200,190,17,21,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-05-05,"11,41",431,"0,31",,,50,44,190,200,"21,9",30,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-05-06,"4,03",1603,0,,,56,41,230,220,"10,1","12,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-05-07,"4,25",1445,0,,,53,43,300,230,"12,1","12,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-05-08,"4,7",300,0,,,51,43,290,350,"10,1",13,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-05-09,"2,91",1454,"0,2",,,56,43,200,210,17,23,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-05-10,"7,16",1647,0,,,52,43,190,190,21,28,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-05-11,"8,95",2344,"0,76",,,48,44,180,180,17,"23,9",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-05-12,"8,72",30,"0,16",,,49,44,220,190,"16,1",21,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-05-13,"11,63",1242,"0,16",,,54,43,190,190,"25,9",36,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-05-14,"7,83",133,"0,27",,,45,39,170,170,"19,9",28,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-05-15,"9,84",1635,"0,03",,,50,38,330,310,"18,1","21,9",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-05-16,"12,3",1542,0,,,51,38,310,310,21,23,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-05-17,"3,58",318,0,0,,57,38,230,320,"10,1","12,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-05-18,"8,05",735,0,,,52,45,230,230,"19,9","21,9",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-05-19,"5,82",1035,0,,,50,45,230,240,"12,1","14,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-05-20,"6,49",2005,"0,37",,,52,46,200,200,17,21,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-05-21,"10,51",1350,"0,63",0,,53,47,180,190,30,40,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-05-22,"8,28",1011,"0,16",0,,52,44,200,190,23,32,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-05-23,"5,82",1835,0,,,55,42,230,220,13,"16,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-05-24,"6,49",1452,"0,17",,,52,45,190,200,"21,9","29,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-05-25,"3,8",1141,"0,11",,,50,45,200,190,21,"27,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-05-26,"12,75",1827,"0,31",,,52,44,160,160,"29,1","36,9",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-05-27,"10,29",242,"0,23",,,51,45,170,170,"23,9","33,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-05-28,"6,93",503,"1,03",,,50,42,110,100,"18,1",21,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-05-29,"4,7",1235,0,,,54,41,230,230,"10,1","12,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-05-30,"4,03",1144,0,,,53,44,230,210,"8,9",11,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-05-31,"4,03",1333,0,,,54,42,250,260,"10,1",13,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-06-01,"8,5",1144,"0,02",,,58,44,210,110,"18,1","21,9",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-06-02,"5,37",935,"0,19",,,53,45,220,200,"14,1","18,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-06-03,"3,8",1338,0,,,57,43,230,220,13,"14,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-06-04,"4,03",952,"0,07",,,52,46,210,220,"12,1","14,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-06-05,"5,37",1125,0,,,63,44,130,130,15,19,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-06-06,"9,84",912,"0,07",,,57,47,130,120,"19,9","27,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-06-07,"8,05",2331,"0,04",,,59,48,190,190,23,"31,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-06-08,"6,49",3,"0,02",0,,59,45,190,190,"19,9","25,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-06-09,"8,05",1541,"0,19",,,60,44,300,300,"19,9","21,9",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-06-10,"6,71",1019,"1,09",,,53,46,100,80,"14,1","16,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-06-11,"4,7",54,"0,07",,,51,49,260,260,"12,1","14,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-06-12,"4,92",1116,"0,02",,,63,46,220,110,15,"18,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-06-13,"5,14",2117,"0,1",,,56,49,310,310,17,19,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-06-14,"6,71",1142,"0,01",,,54,49,300,250,15,17,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-06-15,"6,71",1810,0,,,60,50,310,310,"16,1",19,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-06-16,"4,47",2109,"0,36",,,57,48,190,190,17,"21,9",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-06-17,"3,8",25,"0,02",,,54,52,210,220,13,"16,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-06-18,"3,58",1014,0,,,62,52,300,300,"10,1","12,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-06-19,"3,8",2113,0,,,67,52,300,320,"10,1","12,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-06-20,"3,36",2309,0,,,62,52,210,220,"8,9","12,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-06-21,"5,59",2254,0,,,57,52,230,240,"10,1","12,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-06-22,"7,61",1430,0,,,60,52,300,300,17,"19,9",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-06-23,"4,7",2156,0,,,57,49,200,200,"10,1",13,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-06-24,"4,47",1731,"0,05",,,61,50,230,230,"12,1","12,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-06-25,"8,95",1507,"0,01",,,60,50,310,300,21,23,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-06-26,"6,04",105,"0,11",,,55,49,290,290,17,"19,9",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-06-27,"3,13",1226,0,,,56,50,260,260,"6,9","10,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-06-28,"4,92",1927,"0,2",,,61,50,210,200,"14,1",19,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-06-29,"3,58",755,"0,38",,,57,51,310,210,"12,1",13,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-06-30,"4,7",1449,"0,14",,,57,51,280,230,"14,1","16,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-07-01,"7,38",1518,"0,25",,,62,50,300,300,"19,9",21,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-07-02,"7,83",2315,"0,01",,,58,53,330,340,13,"16,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-07-03,"5,14",349,0,,,70,54,340,340,15,"18,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-07-04,"2,91",1539,0,,,70,55,220,220,"12,1",13,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-07-05,"4,92",1703,0,,,67,55,300,310,13,"14,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-07-06,"7,16",46,0,,,59,55,200,210,15,19,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-07-07,"3,8",1216,0,,,58,55,230,210,"8,1","10,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-07-08,"4,47",450,0,,,62,54,230,210,"12,1",13,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-07-09,"6,71",2311,0,,,66,55,200,190,17,23,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-07-10,"9,62",33,"0,44",,,59,53,190,190,21,"25,9",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-07-11,"6,04",917,"0,29",,,56,50,210,160,13,21,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-07-12,"7,38",1917,"0,02",,,63,49,310,310,17,19,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-07-13,"8,28",1437,0,0,,65,48,300,300,"18,1",21,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-07-14,"4,92",1219,"0,32",,,58,52,200,190,17,"21,9",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-07-15,"6,71",1739,"0,75",,,56,52,230,160,15,"18,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-07-16,"4,7",223,"0,61",,,59,52,220,170,13,"18,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-07-17,"6,26",1630,0,,,64,52,290,290,"18,1","21,9",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-07-18,"3,58",452,"0,16",,,60,53,330,170,"8,9","16,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-07-19,"6,49",1738,"0,14",,,60,53,320,310,"14,1","16,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-07-20,"12,97",2309,0,,,61,56,340,330,"19,9","23,9",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-07-21,"12,53",554,0,0,,65,55,340,340,"19,9","25,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-07-22,"6,71",1925,0,0,,65,54,320,320,"14,1","16,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-07-23,"6,71",144,0,,,63,54,330,330,"12,1","12,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-07-24,"4,92",1558,0,,,59,52,230,230,"10,1","12,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-07-25,"2,24",533,0,,,64,52,310,320,"8,1","8,9",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-07-26,"4,92",2130,0,,,65,58,320,320,"14,1",15,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-07-27,"13,87",1723,0,,,68,58,300,300,21,23,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-07-28,"16,11",828,0,,,66,56,310,330,"21,9","25,9",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-07-29,"11,86",1523,0,,,64,56,310,320,"18,1","21,9",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-07-30,"14,99",928,0,,,67,58,320,320,23,"25,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-07-31,"13,42",210,0,,,65,56,330,340,"18,1","21,9",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-08-01,"9,17",1009,0,,,66,56,290,290,"16,1","18,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-08-02,"5,59",2226,"0,17",,,59,56,190,200,"19,9","23,9",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-08-03,"12,75",2006,"0,01",,,67,55,110,80,"21,9","29,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-08-04,"11,18",1157,0,,,73,55,110,110,"21,9",28,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-08-05,"2,91",1734,0,,,72,54,310,320,13,"14,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-08-06,"3,13",1253,0,,,64,56,220,220,"12,1","14,1",,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-08-07,"8,05",1402,"0,07",,,62,55,200,190,"21,9",28,,,,,
"USW00025333","SITKA AIRPORT, AK US",2018-08-08,"10,74",1039,"2,62",,,61,57,180,160,"19,9","27,1",,,,,
